substance,common_name,alt_names,type,mechanism,source,evidence_floor,candidate,duke_uses,gn_mechanism,gn_warning,matched_chem,duke_activities,duke_superacts,n_cousins
Sida acuta,,,phytochemical,Tumor,Dr. Duke,,,Abortifacient|Ache(Head)|Ague|Anodyne|Astringent|Bilious|Bite(Snake)|Chest|Cough|Demulcent|Dentifrice|Depurative|Diuretic|Dysentery|Elephantiasis|Emollient|Erysipelas|Evil eye|Fever|Gargle|Hematemesis|Impotency|Leucorrhea|Malaria|Marasmus|Medicine|Nausea|Nerves|Parturition|Piles|Pneumonia|Poultice|Refrigerant|Rheumatism|Soap|Sore|Stomachic|Swelling|Testicle|Tonic|Tumor|Urogenital|Vermifuge,,pregnancy_caution,,,,0
Sida glomerata,,,phytochemical,Tumor,Dr. Duke,,,Tumor,,,,,,0
Sida rhombifolia,Sidoguir,,phytochemical,Tumor,Dr. Duke,,,Abdomen|Abortive|Ache(Head)|Ache(Tooth)|Alopecia|Aphrodisiac|Bilious|Bladder|Boil|Burn|Chickenpox|Constipation|Cramps|Delirium|Demulcent|Dermatosis|Diarrhea|Diuretic|Dysmenorrhea|Dyspepsia|Emollient|Enterosis|Eye|Fever|Fracture|Herpes|Impetigo|Impotence|Itch|Leucorrhea|Medicine|Ophthalmia|Rheumatism|Sedative|Shortwindedness|Skin|Soap|Sore|Stomach|Sty|Swelling|Tea|Thrush|Tuberculosis|Tumor|Tumor(Abdomen)|Urethritis|Waspsting|Wound,,,,,,0
Sideritis romana?,Sideritis,,phytochemical,Tumor,Dr. Duke,,,Tumor,,,,,,0
Siegesbeckia pubescens,Hsi Lien,,phytochemical,Tumor,Dr. Duke,,,Antidote|Arthritis|Convulsion|Drainage|Paralysis|Rheumatism|Stroke|Tumor,,,,,,0
Sium rugosum,Muskrat Weed,,phytochemical,Tumor,Dr. Duke,,,Tumor,,,,,,0
Smilax lanceaefolia,Chubi Chini,,phytochemical,Tumor,Dr. Duke,,,Tumor,,,,,,0
Solandra sp,Solandra,,phytochemical,Tumor,Dr. Duke,,,Poison|Tumor,,general_toxicity,,,,0
Solanum sisymbriifolium,Revienta Caballo,,phytochemical,Tumor,Dr. Duke,,,Antifertility|Tumor,,,,,,0
Solanum sodomeum,Bou Sikroun,,phytochemical,Tumor,Dr. Duke,,,Cough|Cystitis|Diuretic|Poison|Tumor,,general_toxicity,,,,0
Solanum somniculentum,Quauhayacachtli,,phytochemical,Tumor,Dr. Duke,,,Tumor,,,,,,0
Solanum tuberosum,Kartoffel,,phytochemical,Tumor,Dr. Duke,,,Alterative|Burn|Calmative|Corn|Cystitis|Emetic|Excipient|Fistula|Intoxicant|Lithiasis|Poison|Prostatitis|Shampoo|Tumor|Wart,,general_toxicity,,,,0
Solanum uporo,,,phytochemical,Tumor,Dr. Duke,,,Abscess|Boil|Breast|Filariasis|Mycosis|Swelling|Tumor,,,,,,0
Solanum verbascifolium,Trompillo,,phytochemical,Tumor,Dr. Duke,,,Abortive|Ache(Head)|Anodyne|Antidote|Boil|Fever|Hematuria|Mouth|Parturition|Sore|Tumor|Ulcer|Vaginitis|Vertigo,,,,,,0
Solidago virgaurea,,,phytochemical,Tumor,Dr. Duke,,,Asthma|Astringent|Carminative|Cicatrizant|Diarrhea|Digestive|Diuretic|Dropsy|Dysentery|Eczema|Edema|Fever|Lithontriptic|Nephritis|Nervine|Pertussis|Renitis|Rheumatism|Sore|Stimulant|Sudorific|Tea|Tonic|Tumor|Vulnerary|Wound,,,,,,0
Sphaeralcea fendleri,Yerba De Negrita,,phytochemical,Tumor,Dr. Duke,,,Tumor,,,,,,0
Sphaeranthus hirtus,"Thistle,Globe",,phytochemical,Tumor,Dr. Duke,,,Tumor,,,,,,0
Sphaeranthus indicus,Mundi,,phytochemical,Tumor,Dr. Duke,,,Alterative|Aphrodisiac|Bactericide|Bowel|Chest|Cough|Depurative|Diuretic|Gastritis|Hepatitis|Piles|Repellant(Insect)|Styptic|Tonic|Tuberculosis|Tumor|Vermifuge,,,,,,0
Stachys alopecuros,Margarita,,phytochemical,Tumor,Dr. Duke,,,Tumor,,,,,,0
Stachys glutinosa,Tragoriganos,,phytochemical,Tumor,Dr. Duke,,,Tumor,,,,,,0
Stachys sylvatica,"Woundwort,Hedge",,phytochemical,Tumor,Dr. Duke,,,Antiseptic|Dysentery|Emetic|Emmenagogue|Expectorant|Hemostat|Sedative|Spasm|Tonic|Tumor,,pregnancy_caution,,,,0
Stachytarpheta cayennensis,Verbena,,phytochemical,Tumor,Dr. Duke,,,Chest-Cold|Collyrium|Depurative|Dysentery|Fever|Heart|Heart attack|Ophthalmia|Panacea|Tumor|Vermifuge,,,,,,0
Stachytarpheta jamaicensis,Verbena Azul,,phytochemical,Tumor,Dr. Duke,,,Abortifacient|Abortive|Ache(Head)|Alopecia|Amenorrhea|Anodyne|Asthma|Boil|Bronchitis|Bruise|Cardiac|Cataract|Cathartic|Chest-Cold|Cough|Depurative|Diarrhea|Dropsy|Dysentery|Eczema|Emetic|Emmenagogue|Erysipelas|Fever|Flu|Gonorrhea|Inflammation|Itch|Lactogogue|Malaria|Nausea|Nerves|Poison|Pressor|Puerperium|Purgative|Rash|Rectitis|Rheumatism|Rhinitis|Rhinosis|Sedative|Skin|Sore|Sprain|Stomach|Stomachic|Sudorific|Syphilis|Tea|Tumor|Venereal|Vermifuge|Vitiligo|Yellow Fever,,general_toxicity;pregnancy_caution,,,,0
Stellaria aquatica,Chickweed,,phytochemical,Tumor,Dr. Duke,,,Dysuria|Fistula|Lactagogue|Lactogogue|Oliguria|Piles|Sore|Tumor,,,,,,0
Stellaria nemorum,Cococaton,,phytochemical,Tumor,Dr. Duke,,,Tumor,,,,,,0
Stenocline incana,Rambiazina,,phytochemical,Tumor,Dr. Duke,,,Aphrodisiac|Astringent|Stomachic|Tonic|Tumor,,,,,,0
Streblus asper,,,phytochemical,Tumor,Dr. Duke,,,Ache(Stomach)|Adenopathy|Antiseptic|Boil|Bubo|Cancer|Cardiac|Chafe|Cholera|Colic|Dentifrice|Diarrhea|Dysentery|Epistaxis|Fever|Fumitory|Gravel|Lactagogue|Lactogogue|Leucoderma|Menorrhagia|Neuralgia|Parturition|Piles|Pyorrhea|Rennet|Rinderpest|Sedative|Sore|Swelling|Syphilis|Tea|Tumor|Weak-Pulse|Wound,,,,,,0
Struthanthus citricola,Tetpote Iba,,phytochemical,Tumor,Dr. Duke,,,Tumor,,,,,,0
Struthanthus marginatus,Herva De Passarinho Miuda,,phytochemical,Tumor,Dr. Duke,,,Tumor,,,,,,0
Strychnos colubrina,,,phytochemical,Tumor,Dr. Duke,,,Arrow-poison|Dyspepsia|Fever|Malaria|Purgative|Rheumatism|Skin|Tumor,,general_toxicity,,,,0
Styrax sp,Styrax,,phytochemical,Tumor,Dr. Duke,,,Tumor,,,,,,0
Symphytum asperrimum,Consuelda,,phytochemical,Tumor,Dr. Duke,,,Tumor,,,,,,0
Symphytum bulbosum,Comfrey,,phytochemical,Tumor,Dr. Duke,,,Tumor,,,,,,0
Amorphophallus sylvatica,,,phytochemical,Tumor,Dr. Duke,,,Ache(Tooth)|Adenopathy|Bruise|Tumor,,,,,,0
Tacca palmata,Iles-iles,,phytochemical,Tumor,Dr. Duke,,,Ache(Stomach)|Bite(Snake)|Boil|Pimple|Stomachic|Swelling|Tonic|Tumor|Wound,,,,,,0
Tagetes erecta,Chambergo,,phytochemical,Tumor,Dr. Duke,,,Amenorrhea|Anodyne|Bactericide|Boil|Bronchitis|Cachexia|Carbuncle|Carminative|Cold|Colic|Conjunctivitis|Cough|Depurative|Diaphoretic|Diuretic|Dropsy|Dysmenorrhea|Dyspepsia|Edema|Emmenagogue|Eye|Fever|Laxative|Liver|Malaria|Mastitis|Medicine|Muscle|Nematicide|Parotitis|Pertussis|Piles|Renitis|Respiratory|Rheumatism|Sore|Stimulant|Stomach|Tumor|Vermifuge|Vulnerary|Wart,,pregnancy_caution,,,,0
Talinum patens,Verdolaga De Cabra,,phytochemical,Tumor,Dr. Duke,,,Tumor,,,,,,0
Tamarindus indica,Tamarind,,phytochemical,Tumor,Dr. Duke,,,Abortive|Ache(Head)|Antiseptic|Aperient|Apoplexy|Asthma|Bilious|Boil|Carbuncle|Cardiac|Carminative|Chill|Cold|Colitis|Collyrium|Conjunctivitis|Cosmetic|Cough|Depurative|Dermatosis|Diabetes|Diarrhea|Digestive|Diuretic|Dropsy|Dysentery|Emetic|Eye|Fever|Fungicide|Hangover|Hemorrhage|Hypertension|Inflammation|Itch|Jaundice|Laxative|Lenitive|Liver|Mucusitis|Piles|Pimple|Purgative|Refrigerant|Rheumatism|Scurvy|Sore|Sore(Throat)|Sting(Caterpillar)|Styptic|Sunstroke|Suppurative|Swelling|Thirst|Thrush|Tonic|Tumor|Vermifuge|Wound,,,,,,0
Tamarix aphylla,Atsl,,phytochemical,Tumor,Dr. Duke,,,Astringent|Eczema|Gargle|Sclerosis(Spleen)|Skin|Tumor,,,,,,0
Tanacetum vulgare,Tansy,,phytochemical,Tumor,Dr. Duke,,,Abortifacient|Acaricide|Ache(Foot)|Ache(Stomach)|Antibiotic|Antioxidant|Antiseptic|Ascaricide|Bitter-Principle|Bruise|Cold|Cordial|Diaphoretic|Dropsy|Emmenagogue|Fatality|Fever|Freckle|Gall|Gout|Hysteria|Immortality|Insecticide|Liniment|Narcotic|Nerves|Poison|Pulicide|Repellant(Insect)|Rheumatism|Sedative|Sore|Spasm|Sprain|Steam-Bath|Stimulant|Stomachic|Sudorific|Tonic|Tumor|Vermifuge|Vulnerary,antioxidant,general_toxicity;pregnancy_caution,,,,0
Taxodium mucronatum,,,phytochemical,Tumor,Dr. Duke,,,Ache(Tooth)|Anesthetic|Astringent|Bronchitis|Catarrh|Chest|Diarrhea|Diuretic|Emmenagogue|Fever|Gout|Hepatitis|Herpes|Itch|Psoriasis|Resolvent|Rheumatism|Scabies|Skin|Sore|Tumor|Tumor(Leg)|Ulcer|Vulnerary|Wound,,pregnancy_caution,,,,0
Tephrosia purpurea,"Indigo,Wild",,phytochemical,Tumor,Dr. Duke,,,Anodyne|Asthma|Bilious|Bronchitis|Coffee|Colic|Cough|Deobstruent|Diarrhea|Diuretic|Dyspepsia|Eczema|Elephantiasis|Epistaxis|Eruption|Fever|Inflammation|Insecticide|Itch|Kidney|Laxative|Liver|Piscicide|Poison|Rheumatism|Scabies|Sclerosis|Skin|Tonic|Tumor|Urogenital,,general_toxicity,,,,0
Tephrosia rufescens,Timbo De Rais,,phytochemical,Tumor,Dr. Duke,,,Tumor,,,,,,0
Tephrosia sinapou,,,phytochemical,Tumor,Dr. Duke,,,CNS depressant|Hypertension|Piscicide|Purgative|Sedative|Tumor,,,,,,0
Tetracera volubilis,,,phytochemical,Tumor,Dr. Duke,,,Diuretic|Fever|Sudorific|Syphilis|Tumor,,,,,,0
Tetradenia fruticulosa,Borona,,phytochemical,Tumor,Dr. Duke,,,Tumor,,,,,,0
Teucrium marum,Marmahhour,,phytochemical,Tumor,Dr. Duke,,,Deobstruent|Diaphoretic|Diuretic|Errhine|Expectorant|Spasm|Sternutatory|Stimulant|Tumor,,,,,,0
Thalia geniculata,Angutiguepo Obi,,phytochemical,Tumor,Dr. Duke,,,Tumor,,,,,,0
Thymus serpyllum,"Thyme,Wild",,phytochemical,Tumor,Dr. Duke,,,Ache(Tooth)|Antiseptic|Astringent|Carminative|Catarrh|Convulsion|Cordial|Depurative|Emmenagogue|Epilepsy|Eruption|Expectorant|Hair|Lung|Nervine|Pertussis|Radiculagia|Sedative|Skin|Spasm|Stomachic|Tonic|Tumor|Vermifuge,,pregnancy_caution,,,,0
Tillandsia usneoides,Barba De Velho,,phytochemical,Tumor,Dr. Duke,,,Astringent|Emmenagogue|Epilepsy|Fever|Hemostat|Inflammation|Obesity|Sudorific|Tumor|Vulnerary,,pregnancy_caution,,,,0
Pisonia cephalantha,Cazabito,,phytochemical,Tumor,Dr. Duke,,,Tumor,,,,,,0
Pisonia graciliflora,Cazabito,,phytochemical,Tumor,Dr. Duke,,,Tumor,,,,,,0
Trachelospermum divaricatum,Lo Shih,,phytochemical,Tumor,Dr. Duke,,,Tumor,,,,,,0
Tragopogon pratensis,Herba Thetrait,,phytochemical,Tumor,Dr. Duke,,,Bile|Cold|Emollient|Expectorant|Lithontriptic|Pectoral|Resolvent|Stomach|Sudorific|Tumor,,,,,,0
Tribulus cistoides,Abrojo,,phytochemical,Tumor,Dr. Duke,,,Abscess|Ache(Tooth)|Aperient|Apertif|Diuretic|Emollient|Poison|Renitis|Rheumatism|Stimulant|Stomachic|Tonic|Tumor,,general_toxicity,,,,0
Tribulus maximum,Abrojo,,phytochemical,Tumor,Dr. Duke,,,Tumor,,,,,,0
Tribulus sictoides,Abrojo,,phytochemical,Tumor,Dr. Duke,,,Tumor,,,,,,0
Trichilia hirta,Trompillo,,phytochemical,Tumor,Dr. Duke,,,Abortifacient|Astringent|Cold|Cosmetic|Emmenagogue|Fever|Hair|Hair-Oil|Insecticide|Poison|Purgative|Repellant(Flea)|Sore|Stimulant|Sudorific|Tumor,,general_toxicity;pregnancy_caution,,,,0
Trichocereus chiloensis,Quisco,,phytochemical,Tumor,Dr. Duke,,,Liqueur|Tumor,,,,,,0
Trichosanthes anguina,Khyar,,phytochemical,Tumor,Dr. Duke,,,Apertif|Bilious|Diarrhea|Emetic|Hemagglutinant|Purgative|Syphilis|Tumor|Vermifuge,,,,,,0
Trichosanthes bracteata,,,phytochemical,Tumor,Dr. Duke,,,Antitussive|Carbuncle|Inflammation|Lung(Veterinary)|Sore|Thirst|Tumor,,,,,,0
Trifolium incarnatum,Trebol Encarnado,,phytochemical,Tumor,Dr. Duke,,,Tumor,,,,,,0
Trigonella caerulea,Meliloto Azul,,phytochemical,Tumor,Dr. Duke,,,Tumor,,,,,,0
Trigonella striata,Iklil Il Malik,,phytochemical,Tumor,Dr. Duke,,,Tumor,,,,,,0
Trillium cernuum,"Wakerobin,Nodding",,phytochemical,Tumor,Dr. Duke,,,Tumor,,,,,,0
Trillium grandiflorum,"Trillium,White",,phytochemical,Tumor,Dr. Duke,,,Tumor,,,,,,0
Trillium nivale,Bethroot,,phytochemical,Tumor,Dr. Duke,,,Tumor,,,,,,0
Trillium sessile,,,phytochemical,Tumor,Dr. Duke,,,Tumor,,,,,,0
Trixis divaricata,Juan De La Calle,,phytochemical,Tumor,Dr. Duke,,,Rheumatism|Tumor,,,,,,0
Tsuga canadensis,Hemlock,,phytochemical,Tumor,Dr. Duke,,,Astringent|Cold|Cough|Diaphoretic|Flu|Medicine|Scurvy|Sore|Sudorific|Swelling|Tea|Tumor|Vesicant,,,,,,0
Tussilago farfara,Tusilago,,phytochemical,Tumor,Dr. Duke,,,Antihistamine|Antitussive|Apoplexy|Asthma|Bactericide|Bronchitis|Catarrh|Cold|Cough|Demulcent|Diarrhea|Diuretic|Dyspepsia|Emollient|Expectorant|Eye|Fumitory|Gargle|Nerves|Pectoral|Phthisis|Rheumatism|Scrofula|Styptic|Sudorific|Tea|Tumor,,,,,,0
Typha angustifolia,Espandana,,phytochemical,Tumor,Dr. Duke,,,Cyanogenetic|Tumor,,,,,,0
Typha latifolia,Cattail,,phytochemical,Tumor,Dr. Duke,,,Abdomen|Amenorrhea|Anodyne|Anticoagulant|Burn|Coagulant|Cystitis|Diarrhea|Diuretic|Epistaxis|Gonorrhea|Hematafeces|Hematemesis|Hematuria|Hemoptysis|Hemorrhage|Hemostat|Hemostatic|Leucorrhea|Metrorrhagia|Metroxenia|Piles|Poison|Refrigerant|Scald|Sterilizant|Styptic|Suppurative|Swelling|Tattoo|Tumor|Ulcer|Urethritis|Vaginitis|Vermifuge|Vulnerary|Wound,,bleeding_risk;general_toxicity,,,,0
Typha sp,,,phytochemical,Tumor,Dr. Duke,,,Aphrodisiac|Astringent|Bite(Snake)|Burn|Detersive|Diarrhea|Diuretic|Dropsy|Dysentery|Dysuria|Erysipelas|Fever|Gonorrhea|Hematochezia|Hemorrhage|Inflammation|Measles|Ophthalmia|Placenta|Poison|Sore|Stimulant|Styptic|Thrush|Tumor|Uterotonic|Uterus|Wound,,general_toxicity;pregnancy_caution,,,,0
Ulmus dulcis,"Elm,Sweet",,phytochemical,Tumor,Dr. Duke,,,Tumor,,,,,,0
Ulmus glabra,Elm,,phytochemical,Tumor,Dr. Duke,,,Tumor,,,,,,0
Ulmus rubra,"Elm,Slippery",,phytochemical,Tumor,Dr. Duke,,,Burn|Demulcent|Diarrhea|Fever|Gunshot|Laxative|Medicine|Parturition|Preventitive(Chafe)|Respiratory|Skin|Tumor|Wound,,,,,,0
Ulmus sp,,,phytochemical,Tumor,Dr. Duke,,,Astringent|Demulcent|Depurative|Diuretic|Emollient|Fever|Nervine|Scurvy|Stimulant|Sudorific|Tonic|Tumor|Wound,,,,,,0
Urera oblongifolia,,,phytochemical,Tumor,Dr. Duke,,,Tumor,,,,,,0
Urtica dioica,,,phytochemical,Tumor,Dr. Duke,,,Ache|Ache(Back)|Alopecia|Anodyne|Asthma|Astringent|Ataxia(Locomotor)|Bactericide|Blood|Bronchitis|Bruise|Burn|Cancer|Catarrh|Chest|Cholecystitis|Cholengitis|Constipation|Cosmetic|Cough|Counterirritant|Dandruff|Depurative|Diuretic|Dropsy|Dyspnea|Emmenagogue|Epilepsy|Epistaxis|Evil eye|Fit|Gout|Hair-Tonic|Hematemesis|Hematoptysis|Hemoptysis|Hemorrhage|Hemostat|Homeopathy|Insanity|Massage|Menorrhagia|Metrorrhagia|Paralysis|Parturition|Purgative|Rheumatism|Shampoo|Shigellosis|Sore|Sprain|Stimulant|Stomachic|Suppository|Swelling|Tantrum|Tea|Tonic|Tumor|Urticaria|Vasoconstrictor|Vermifuge|Wound,,pregnancy_caution,,,,0
Valeriana ceratophylla,,,phytochemical,Tumor,Dr. Duke,,,Eye|Insomnia|Nerves|Nightmare|Spasm|Tumor,,,,,,0
Verbascum lychnitis,Mullein,,phytochemical,Tumor,Dr. Duke,,,Raticide|Tumor,,,,,,0
Verbascum thapsiforme,,,phytochemical,Tumor,Dr. Duke,,,Tumor,,,,,,0
Verbascum thapsus,Gordolobo,,phytochemical,Tumor,Dr. Duke,,,Ache(Ear)|Alterative|Anodyne|Antiseptic|Aphrodisiac|Asthma|Astringent|Baldness|Bronchitis|Bruise|Cardiotonic|Catarrh|Chest|Cold|Congestion|Cough|Cramp|Croup|Dandruff|Demulcent|Diarrhea(Veterinary)|Diuretic|Dysentery|Ear|Emollient|Expectorant|Fever|Frostbite|Fumitory|Hairblack|Inflammation|Lung|Lung(Veterinary)|Malaria|Medicine|Migraine|Mucous|Narcotic|Pectoral|Piles|Piscicide|Poultice|Ringworm|Shampoo|Sore(Throat)|Spasm|Sudorific|Sunburn|Tumor|Vulnerary,,,,,,0
Verbena litoralis,Verbena Del Campo,,phytochemical,Tumor,Dr. Duke,,,Antifertility|Bruise|Cough|Malaria|Panacea|Purgative|Tumor,,,,,,0
Verbena officinalis,Ayauhxochitl,,phytochemical,Tumor,Dr. Duke,,,Alexiteric|Amenorrhea|Aphrodisiac|Arthritis|Astringent|Bilious|Bite(Snake)|Bronchitis|Cancer|Cirrhosis|Cold|Decoagulant|Deobstruent|Depurative|Detersive|Diaphoretic|Diuretic|Dropsy|Dysmenorrhea|Eczema|Edema|Emetic|Emmenagogue|Fever|Fuel|Gall-Bladder|Hematocoele|Hepatitis|Lactogogue|Liver|Malaria|Mastitis|Nephritis|Nerves|Nervine|Pertussis|Poison|Polyp|Rheumatism|Rubefacient|Scrofula|Scurvy|Skin|Sore|Spasm|Sudorific|Tea|Tonic|Trauma|Tumor|Tumor(Scrotum)|Tumor(Throat)|Urogenital|Uterus|Vermifuge|Vulnerary|Womb|Wound,,general_toxicity;pregnancy_caution,,,,0
Vernonia anthelmintica,,,phytochemical,Tumor,Dr. Duke,,,Abortifacient|Cholera|Dysuria|Laxative|Leprosy|Skin|Syphilis|Tumor,,pregnancy_caution,,,,0
Veronica beccabunga,Brooklime,,phytochemical,Tumor,Dr. Duke,,,Alterative|Apertif|Bladder|Depurative|Diuretic|Emmenagogue|Expectorant|Scrofula|Scurvy|Skin|Stone|Sudorific|Tea|Tonic|Tumor|Vulnerary|Whitlow,,pregnancy_caution,,,,0
Veronica peregrina,Veronica,,phytochemical,Tumor,Dr. Duke,,,Tumor,,,,,,0
Viburnum sp,Viorne,,phytochemical,Tumor,Dr. Duke,,,Tumor,,,,,,0
Vicia faba,Broadbean,,phytochemical,Tumor,Dr. Duke,,,Antidote(Alcohol)|Aphrodisiac|Chest|Cyanogenetic|Diuretic|Estrogenic|Expectorant|Pneumonia|Poison|Sclerosis|Sclerosis(Heel)|Stomachic|Tonic|Tumor|Viscera|Wart,,general_toxicity,,,,0
Vicia sativa,Orobos,,phytochemical,Tumor,Dr. Duke,,,Astringent|Cancer|Diarrhea|Tumor,,,,,,0
Vigna mungo,,,phytochemical,Tumor,Dr. Duke,,,Abscess|Ache(Bones)|Antidote|Antivinous|Anus|Bladder|Boil|Carminative|Cephalgia|Cholera|Colic|Diuretic|Dropsy|Dysentery|Fever|Fistula|Gravel|Hepatitis|Impotency|Narcotic|Nerves|Poultice|Prolapse|Resolvent|Rheumatism|Scabies|Smallpox|Soap|Splenitis|Tumor|Tumor(Abdomen)|Tumor(Lachrymae),,,,,,0
Vigna unguiculata,,,phytochemical,Tumor,Dr. Duke,,,Adenopathy|Anus|Astringent|Bilious|Breath|Burn|Cyanogenetic|Diarrhea|Diuretic|Dysentery|Dysuria|Fistula|Jaundice|Kidney|Leprosy|Liver|Measles|Nausea|Neuralgia|Nutritive|Pleurisy|Pneumonia|Polyuria|Prolapse|Rinderpest|Smallpox|Sore|Stomach|Thirst|Tonic|Tumor,,,,,,0
Viola canina,,,phytochemical,Tumor,Dr. Duke,,,Expectorant|Tumor,,,,,,0
Viola pinnata,Hu Chin Ts'Ao,,phytochemical,Tumor,Dr. Duke,,,Anodyne|Cancer|Depurative|Sore|Tumor,,,,,,0
Viscum album,Anse Di Pot,,phytochemical,Tumor,Dr. Duke,,,Antiseptic|Arteriosclerosis|Arthrosis|Asthma|Astringent|Cancer|Cardiac|Cardiotonic|Chorea|Diuretic|Emetic|Epilepsy|Galactogogue|Hemorrhage|Hypertension|Hysteria|Lumbago|Malaria|Megalohepaty|Megalospleny|Metrorrhagia|Narcotic|Nervine|Otitis|Piles|Poison|Purgative|Sedative|Spasm|Styptic|Tonic|Tumor|Uterus,,general_toxicity,,,,0
Viscum articulatum,,,phytochemical,Tumor,Dr. Duke,,,Ache(Leg)|Anodyne|Aphrodisiac|Atrophy|Cachexia|Fever|Rheumatism|Syphilis|Tumor,,,,,,0
Vitex grandifolia,Ori,,phytochemical,Tumor,Dr. Duke,,,Tumor,,,,,,0
Vitis caribaea,,,phytochemical,Tumor,Dr. Duke,,,Tumor|Water,,,,,,0
Vitis setosa,,,phytochemical,Tumor,Dr. Duke,,,Tumor,,,,,,0
Vitis tiliaefolia,Ceoalchichiltic,,phytochemical,Tumor,Dr. Duke,,,Emollient|Tumor|Water,,,,,,0
Vitis trifolia,,,phytochemical,Tumor,Dr. Duke,,,Fever|Itch|Rhinosis|Sore|Tumor,,,,,,0
Voacanga foetida,,,phytochemical,Tumor,Dr. Duke,,,Fistula|Intestine|Pustule|Skin|Stomach|Tumor,,,,,,0
Waltheria douradinha,Douradinha,,phytochemical,Tumor,Dr. Duke,,,Tumor,,,,,,0
Waltheria viscosissima,,,phytochemical,Tumor,Dr. Duke,,,Tumor,,,,,,0
Widdringtonia cupressoides,,,phytochemical,Tumor,Dr. Duke,,,Tumor,,,,,,0
Widdringtonia juniperoides,,,phytochemical,Tumor,Dr. Duke,,,Tumor,,,,,,0
Withania somnifera,,,phytochemical,Tumor,Dr. Duke,,,Abortifacient|Adenopathy|Anodyne|Arthritis|Asthma|Bactericide|Bronchitis|Cancer|Candida|Cold|Contraceptive|Cough|Debility|Diuretic|Dropsy|Dyspepsia|Enema|Eye|Fever|Fungicide|Gynecopathy|Hiccup|Hypertension|Inflammation|Intestine|Lumbago|Marasmus|Narcotic|Pediculicide|Poison|Psoriasis|Rectitis|Rectum|Rennet|Rheumatism|Ringworm|Scabies|Sedative|Senility|Sore|Spasmolytic|Syphilis|Tonic|Tubercle|Tumor|Tumor(Abdomen)|Uterus|Viricide|Witchcraft|Wound,,general_toxicity;pregnancy_caution,,,,0
Xanthium orientale,Cay Be,,phytochemical,Tumor,Dr. Duke,,,Tumor,,,,,,0
Xanthium spinosum,Cepa Caballo,,phytochemical,Tumor,Dr. Duke,,,Antiseptic|Astringent|Bite(Snake)|Depurative|Diaphoretic|Diarrhea|Diuretic|Malaria|Poison|Rabies|Resolvent|Scrofula|Sialogogue|Styptic|Sudorific|Tumor,,general_toxicity,,,,0
Zanthoxylum hermaphroditum,,,phytochemical,Tumor,Dr. Duke,,,Tumor,,,,,,0
Zea mays,Maiz,,phytochemical,Tumor,Dr. Duke,,,Ache(Stomach)|Alexiteric|Alterative|Amenorrhea|Analgesic|Anodyne|Antidote(Bromine)|Antidote(Iodine)|Antiseptic|Astringent|Bright's Disease|Cardiac|Corn|Cyanogenetic|Cystitis|Demulcent|Diabetes|Diuretic|Dropsy|Dysentery|Dysmenorrhea|Excipient|Flu|Gout|Gravel|Gum|Hepatitis|Hypertension|Inflammation|Intoxicant|Liqueur|Litholytic|Lithontriptic|Menorrhagia|Metritis|Nephritis|Oliguria|Panacea|Pneumonia|Prostatitis|Renitis|Rheumatism|Shampoo|Soap|Stimulant|Stomachic|Stone|Strangury|Tumor|Urogenital|Wart,,general_toxicity,,,,0
Zephyranthes parvula,Pullapulla,,phytochemical,Tumor,Dr. Duke,,,Tumor,,,,,,0
Ziziphus lotus,Nabq,,phytochemical,Tumor,Dr. Duke,,,Tumor,,,,,,0
Ziziphus mucronata,Ekanse Adie,,phytochemical,Tumor,Dr. Duke,,,Lumbago|Tumor,,,,,,0
Ziziphus spina-christi,Paliurus,,phytochemical,Tumor,Dr. Duke,,,Ache(Tooth)|Anodyne|Astringent|Demulcent|Depurative|Emollient|Laxative|Mouthwash|Pectoral|Refrigerant|Stomachic|Tonic|Tumor,,,,,,0
Gynura pseudochina,,,phytochemical,Tumor(Breast),Dr. Duke,,,Bruise|Dysmenorrhea|Erysipelas|Pimple|Tumor(Breast),,,,,,0
Achyranthes aspera,Apamarga,,phytochemical,Tumor(Abdomen),Dr. Duke,,,Ache(Tooth)|Astringent|Atrophy|Bite(Bug)|Bite(Snake)|Bite(Tiger)|Blindness(Veterinary)|Cachexia|Cataract|Circumcision|Convulsion|Cough|Dentifrice|Diuretic|Dropsy|Dysentery|Emaciation|Emetic|Enteritis|Fever|Hematemesis|Hematochezia|Labor|Medicine|Ophthalmia|Pain|Rabies|Renitis|Rheumatism|Scabies|Scorpion|Sore|Stomatitis|Styptic|Syphilis|Tetanus|Tumor|Tumor(Abdomen)|Wound,,,,,,0
Aconitum heterophyllum,Ativisha,,phytochemical,Tumor(Abdomen),Dr. Duke,,,Aphrodisiac|Astringent|Cough|Diarrhea|Dysentery|Dyspepsia|Enteritis|Fever|Malaria|Poison|Stomach|Tonic|Tumor(Abdomen),,general_toxicity,,,,0
Aegle marmelos,Vilwa,,phytochemical,Tumor(Abdomen),Dr. Duke,,,Abdomen|Abortifacient|Ache(Stomach)|Aftosa|Alterative|Anodyne|Astringent|Bite(Snake)|Brain|Breast|Cholera|Constipation|Convulsion|Dentifrice|Diarrhea|Digestive|Dysentery|Dyspepsia|Fever|Heart|Itch|Laxative|Malaria|Nausea|Palpitation|Piscicide|Proctitis|Puerperium|Refrigerant|Restorative|Soap|Sore|Spasm|Sterilizant|Stomachic|Suppuration|Thirst|Tonic|Tumor(Abdomen),,pregnancy_caution,,,,0
